time,open,high,low,close,tick_volume,spread,real_volume
2025-02-13 22:30:00,2926.02,2927.85,2925.79,2927.54,921,7,0
2025-02-13 22:35:00,2927.54,2928.14,2927.09,2927.95,888,7,0
2025-02-13 22:40:00,2927.95,2928.6,2927.61,2928.05,717,7,0
2025-02-13 22:45:00,2928.05,2928.2,2924.93,2926.66,1001,7,0
2025-02-13 22:50:00,2926.66,2927.81,2926.31,2927.81,816,7,0
2025-02-13 22:55:00,2927.81,2929.1,2927.42,2928.49,994,7,0
2025-02-13 23:00:00,2928.5,2929.0,2928.33,2928.78,307,7,0
2025-02-13 23:05:00,2928.78,2929.04,2928.69,2928.84,203,7,0
2025-02-13 23:10:00,2928.84,2928.92,2928.33,2928.5,229,7,0
2025-02-13 23:15:00,2928.5,2928.89,2928.26,2928.52,203,7,0
2025-02-13 23:20:00,2928.52,2929.07,2928.5,2928.8,211,7,0
2025-02-13 23:25:00,2928.8,2928.81,2928.14,2928.56,355,7,0
2025-02-13 23:30:00,2928.56,2928.78,2928.3,2928.58,458,7,0
2025-02-13 23:35:00,2928.58,2929.34,2928.46,2929.17,319,7,0
2025-02-13 23:40:00,2929.16,2929.39,2928.67,2929.24,359,7,0
2025-02-13 23:45:00,2929.24,2929.38,2928.74,2929.12,424,7,0
2025-02-13 23:50:00,2929.13,2929.19,2928.49,2928.89,802,7,0
2025-02-13 23:55:00,2928.98,2929.02,2928.26,2928.38,119,7,0
2025-02-14 01:05:00,2927.93,2928.34,2927.58,2928.03,189,7,0
2025-02-14 01:10:00,2928.03,2928.22,2927.54,2928.05,190,7,0
2025-02-14 01:15:00,2928.05,2928.9,2927.98,2928.8,197,7,0
2025-02-14 01:20:00,2928.8,2930.28,2928.78,2930.06,246,7,0
2025-02-14 01:25:00,2930.06,2931.25,2929.63,2930.78,327,7,0
2025-02-14 01:30:00,2930.78,2931.47,2930.6,2931.45,340,7,0
2025-02-14 01:35:00,2931.45,2932.42,2931.19,2931.63,434,7,0
2025-02-14 01:40:00,2931.62,2931.65,2930.88,2931.16,309,7,0
2025-02-14 01:45:00,2931.16,2931.53,2930.66,2931.0,391,7,0
2025-02-14 01:50:00,2930.99,2932.25,2930.95,2931.76,453,7,0
2025-02-14 01:55:00,2931.76,2931.76,2931.14,2931.19,108,7,0
2025-02-14 02:00:00,2931.16,2931.43,2930.24,2930.24,448,7,0
2025-02-14 02:05:00,2930.24,2930.26,2928.72,2928.77,514,7,0
2025-02-14 02:10:00,2928.77,2928.77,2927.61,2927.93,465,7,0
2025-02-14 02:15:00,2927.93,2928.87,2927.74,2928.77,500,7,0
2025-02-14 02:20:00,2928.77,2929.19,2928.36,2928.87,484,7,0
2025-02-14 02:25:00,2928.87,2929.25,2928.47,2928.47,353,7,0
2025-02-14 02:30:00,2928.47,2928.94,2927.94,2927.94,334,7,0
2025-02-14 02:35:00,2927.94,2929.04,2927.74,2928.96,280,7,0
2025-02-14 02:40:00,2928.96,2929.06,2928.18,2928.26,241,7,0
2025-02-14 02:45:00,2928.27,2928.63,2927.82,2927.83,220,7,0
2025-02-14 02:50:00,2927.83,2928.22,2927.83,2928.1,249,7,0
2025-02-14 02:55:00,2928.1,2928.44,2927.85,2927.91,304,7,0
2025-02-14 03:00:00,2927.91,2931.25,2927.89,2929.13,1083,7,0
2025-02-14 03:05:00,2929.13,2933.01,2929.12,2932.98,1029,7,0
2025-02-14 03:10:00,2932.98,2933.42,2931.49,2931.5,1155,7,0
2025-02-14 03:15:00,2931.5,2932.9,2931.5,2932.49,1143,7,0
2025-02-14 03:20:00,2932.49,2933.81,2932.25,2933.36,910,7,0
2025-02-14 03:25:00,2933.36,2933.84,2930.91,2931.74,919,7,0
2025-02-14 03:30:00,2931.7,2932.55,2930.68,2932.23,928,7,0
2025-02-14 03:35:00,2932.23,2932.48,2931.12,2931.89,879,7,0
2025-02-14 03:40:00,2931.89,2932.12,2930.11,2930.42,964,7,0
2025-02-14 03:45:00,2930.42,2931.86,2929.89,2930.54,741,7,0
2025-02-14 03:50:00,2930.54,2930.54,2928.52,2929.99,848,7,0
2025-02-14 03:55:00,2929.99,2930.42,2929.44,2929.84,857,7,0
2025-02-14 04:00:00,2929.84,2930.45,2927.64,2928.37,952,7,0
2025-02-14 04:05:00,2928.37,2928.82,2927.62,2928.44,752,7,0
2025-02-14 04:10:00,2928.44,2928.44,2926.79,2928.02,1082,7,0
2025-02-14 04:15:00,2928.02,2928.08,2925.97,2927.41,800,7,0
2025-02-14 04:20:00,2927.42,2928.39,2926.29,2928.32,676,7,0
2025-02-14 04:25:00,2928.35,2928.35,2926.95,2927.66,590,7,0
2025-02-14 04:30:00,2927.66,2928.52,2927.17,2927.75,826,7,0
2025-02-14 04:35:00,2927.75,2928.55,2927.26,2928.17,805,7,0
2025-02-14 04:40:00,2928.17,2928.53,2926.32,2927.25,672,7,0
2025-02-14 04:45:00,2927.25,2928.2,2926.95,2927.99,570,7,0
2025-02-14 04:50:00,2927.99,2928.61,2927.4,2928.13,685,7,0
2025-02-14 04:55:00,2928.13,2928.29,2927.18,2927.38,743,7,0
2025-02-14 05:00:00,2927.41,2929.98,2927.31,2929.96,637,7,0
2025-02-14 05:05:00,2929.96,2930.12,2929.11,2929.47,501,7,0
2025-02-14 05:10:00,2929.47,2929.59,2928.72,2929.0,690,7,0
2025-02-14 05:15:00,2929.02,2929.99,2929.0,2929.61,585,7,0
2025-02-14 05:20:00,2929.61,2930.4,2928.93,2929.29,680,7,0
2025-02-14 05:25:00,2929.29,2929.31,2928.4,2928.94,815,7,0
2025-02-14 05:30:00,2928.94,2929.13,2927.85,2927.89,651,7,0
2025-02-14 05:35:00,2927.89,2928.01,2926.63,2926.89,343,7,0
2025-02-14 05:40:00,2926.89,2926.99,2923.49,2924.18,581,7,0
2025-02-14 05:45:00,2924.18,2925.69,2923.72,2924.52,791,7,0
2025-02-14 05:50:00,2924.52,2924.88,2923.51,2923.7,551,7,0
2025-02-14 05:55:00,2923.65,2925.04,2923.33,2924.51,449,7,0
2025-02-14 06:00:00,2924.51,2926.0,2923.92,2925.6,628,7,0
2025-02-14 06:05:00,2925.62,2925.81,2925.07,2925.53,582,7,0
2025-02-14 06:10:00,2925.53,2925.53,2924.31,2924.9,339,7,0
2025-02-14 06:15:00,2924.9,2926.12,2924.87,2926.08,512,7,0
2025-02-14 06:20:00,2926.08,2926.43,2925.62,2926.22,453,7,0
2025-02-14 06:25:00,2926.22,2927.22,2926.05,2926.33,617,7,0
2025-02-14 06:30:00,2926.33,2926.65,2925.79,2926.28,320,7,0
2025-02-14 06:35:00,2926.28,2926.99,2926.23,2926.93,338,7,0
2025-02-14 06:40:00,2926.93,2927.23,2926.07,2927.08,361,7,0
2025-02-14 06:45:00,2927.08,2928.9,2926.87,2928.24,595,7,0
2025-02-14 06:50:00,2928.24,2928.69,2927.44,2928.46,708,7,0
2025-02-14 06:55:00,2928.46,2929.24,2928.42,2928.65,498,7,0
2025-02-14 07:00:00,2928.65,2929.39,2928.1,2928.63,583,7,0
2025-02-14 07:05:00,2928.63,2928.86,2927.93,2928.16,569,7,0
2025-02-14 07:10:00,2928.16,2928.82,2928.05,2928.8,428,7,0
2025-02-14 07:15:00,2928.75,2929.25,2928.31,2928.69,497,7,0
2025-02-14 07:20:00,2928.69,2929.49,2928.54,2929.2,598,7,0
2025-02-14 07:25:00,2929.2,2929.32,2928.59,2928.77,536,7,0
2025-02-14 07:30:00,2928.77,2930.14,2927.2,2927.5,912,7,0
2025-02-14 07:35:00,2927.5,2929.19,2926.82,2928.26,1122,7,0
2025-02-14 07:40:00,2928.26,2930.02,2928.18,2929.91,840,7,0
2025-02-14 07:45:00,2929.91,2930.88,2929.43,2929.81,872,7,0
